#TYPE;TAG;INSTANCE NAME;APPLICATION_MEASUREMENT_NAME;APPLICATION_GROUP;SERVICE_ID;CUSTOMER;WAE_IP
OAM;APP_56.227.157.205_Email-and-Messaging;APP Email-and-Messaging WAE 0567894110-BRLNCA-ATT-WAAS;Email-and-Messaging;APP_GP_56.207.245.4_Email-and-Messaging;SERVICE_56.207.245.4;;56.227.157.205
OAM;APP_56.32.43.8_Email-and-Messaging;APP Email-and-Messaging WAE 3826272-NWRKNJ-XOC-WAAS;Email-and-Messaging;APP_GP_56.207.245.4_Email-and-Messaging;SERVICE_56.207.245.4;;56.32.43.8
OAM;APP_56.102.133.211_CIFS;APP CIFS WAE 2952498-JCKSMS-VZB-WAAS;CIFS;APP_GP_56.207.245.4_CIFS;SERVICE_56.207.245.4;;56.102.133.211
OAM;APP_56.112.62.13_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 5197566-NPLSFL-VZB-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.112.62.13
OAM;APP_56.246.133.14_SQL;APP SQL WAE 0569360115-SAANCA-ATT-WAAS1;SQL;APP_GP_56.207.245.4_SQL;SERVICE_56.207.245.4;;56.246.133.14
OAM;APP_56.137.133.8_Outlook_Exchange;APP Outlook_Exchange WAE 6270113-CNCNOH-VZB-WAAS;Outlook_Exchange;APP_GP_56.207.245.4_Outlook_Exchange;SERVICE_56.207.245.4;;56.137.133.8
OAM;APP_56.145.23.89_File-Transfer;APP File-Transfer WAE 2524900235-DTRTMI-ATT-WAAS;File-Transfer;APP_GP_56.207.245.4_File-Transfer;SERVICE_56.207.245.4;;56.145.23.89
OAM;APP_56.185.54.9_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 1042012-ASTNTX-XOC-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.185.54.9
OAM;APP_56.64.49.82_Citrix;APP Citrix WAE 3240865-PTMCMD-VZB-WAAS;Citrix;APP_GP_56.207.245.4_Citrix;SERVICE_56.207.245.4;;56.64.49.82
OAM;APP_56.182.28.7_Version-Management;APP Version-Management WAE 6656583-FRTWTX-ATT-WAAS1;Version-Management;APP_GP_56.207.245.4_Version-Management;SERVICE_56.207.245.4;;56.182.28.7
OAM;APP_56.66.85.24_Enterprise-Applications;APP Enterprise-Applications WAE 2303780024-BLTMMD-XOC-WAAS;Enterprise-Applications;APP_GP_56.207.245.4_Enterprise-Applications;SERVICE_56.207.245.4;;56.66.85.24
OAM;APP_56.65.134.143_SQL;APP SQL WAE 1207220-WSHNDC-VZB-WAAS;SQL;APP_GP_56.207.245.4_SQL;SERVICE_56.207.245.4;;56.65.134.143
OAM;APP_56.26.66.29_WAFS;APP WAFS WAE 0805780604-BRDGCT-ATT-WAAS;WAFS;APP_GP_56.207.245.4_WAFS;SERVICE_56.207.245.4;;56.26.66.29
OAM;APP_56.147.39.7_Enterprise-Applications;APP Enterprise-Applications WAE 9280775-ALBNMI-ATT-WAAS;Enterprise-Applications;APP_GP_56.207.245.4_Enterprise-Applications;SERVICE_56.207.245.4;;56.147.39.7
OAM;APP_56.237.67.9_Outlook_Exchange;APP Outlook_Exchange WAE SAM-SAMTCA-VZB-WAAS-5;Outlook_Exchange;APP_GP_56.207.245.4_Outlook_Exchange;SERVICE_56.207.245.4;;56.237.67.9
OAM;APP_56.149.69.91_Printing;APP Printing WAE 2576000170-PLYMMI-XOC-WAAS;Printing;APP_GP_56.207.245.4_Printing;SERVICE_56.207.245.4;;56.149.69.91
OAM;APP_56.72.168.7_Outlook_Exchange;APP Outlook_Exchange WAE 1714254-CHRLWV-VZB-WAAS;Outlook_Exchange;APP_GP_56.207.245.4_Outlook_Exchange;SERVICE_56.207.245.4;;56.72.168.7
OAM;APP_56.72.128.239_Backup;APP Backup WAE 6880498-CHRLWV-VZB-WAAS;Backup;APP_GP_56.207.245.4_Backup;SERVICE_56.207.245.4;;56.72.128.239
OAM;APP_56.183.10.13_Backup;APP Backup WAE 4833800550-GLVSTX-ATT-WAAS;Backup;APP_GP_56.207.245.4_Backup;SERVICE_56.207.245.4;;56.183.10.13
OAM;APP_56.147.82.75_Replication;APP Replication WAE 6811257-ADRNMI-VZB-WAAS;Replication;APP_GP_56.207.245.4_Replication;SERVICE_56.207.245.4;;56.147.82.75
OAM;APP_56.46.130.68_Email-and-Messaging;APP Email-and-Messaging WAE 3541705444-JAMCNY-ATT-WAAS;Email-and-Messaging;APP_GP_56.207.245.4_Email-and-Messaging;SERVICE_56.207.245.4;;56.46.130.68
OAM;APP_56.119.169.5_File-Transfer;APP File-Transfer WAE 3081097-PMBPFL-VZB-WAAS;File-Transfer;APP_GP_56.207.245.4_File-Transfer;SERVICE_56.207.245.4;;56.119.169.5
OAM;APP_56.66.81.25_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 2303780014-BLTMMD-ATT-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.66.81.25
OAM;APP_56.183.113.10_Directory-Services;APP Directory-Services WAE 4841450025-HSTNTX-ATT-WAAS;Directory-Services;APP_GP_56.207.245.4_Directory-Services;SERVICE_56.207.245.4;;56.183.113.10
OAM;APP_56.115.190.11_Version-Management;APP Version-Management WAE 1172600050-PNMCFL-ATT-WAAS;Version-Management;APP_GP_56.207.245.4_Version-Management;SERVICE_56.207.245.4;;56.115.190.11
OAM;APP_56.227.157.205_Backup;APP Backup WAE 0567894110-BRLNCA-ATT-WAAS;Backup;APP_GP_56.207.245.4_Backup;SERVICE_56.207.245.4;;56.227.157.205
OAM;APP_56.237.67.8_Web;APP Web WAE SAM-SAMTCA-VZB-WAAS-4;Web;APP_GP_56.207.245.4_Web;SERVICE_56.207.245.4;;56.237.67.8
OAM;APP_56.155.34.8_WAFS;APP WAFS WAE 1036420-CHCGIL-XOC-WAAS;WAFS;APP_GP_56.207.245.4_WAFS;SERVICE_56.207.245.4;;56.155.34.8
OAM;APP_56.198.174.9_CIFS;APP CIFS WAE 3051600500-LNCLNE-XOC-WAAS;CIFS;APP_GP_56.207.245.4_CIFS;SERVICE_56.207.245.4;;56.198.174.9
OAM;APP_56.184.158.36_Email-and-Messaging;APP Email-and-Messaging WAE 4822700006-CRLNTX-ATT-WAAS;Email-and-Messaging;APP_GP_56.207.245.4_Email-and-Messaging;SERVICE_56.207.245.4;;56.184.158.36
OAM;APP_56.81.187.95_Directory-Services;APP Directory-Services WAE 3687120128-WNSSNC-ATT-WAAS;Directory-Services;APP_GP_56.207.245.4_Directory-Services;SERVICE_56.207.245.4;;56.81.187.95
OAM;APP_56.186.202.87_Web;APP Web WAE 2160510002-METRLA-ATT-WAAS;Web;APP_GP_56.207.245.4_Web;SERVICE_56.207.245.4;;56.186.202.87
OAM;APP_56.28.44.11_File-System;APP File-System WAE 8413303-SYRCNY-VZB-WAAS-2;File-System;APP_GP_56.207.245.4_File-System;SERVICE_56.207.245.4;;56.28.44.11
OAM;APP_56.198.195.11_Web;APP Web WAE 3037414802-GRNINE-ATT-WAAS;Web;APP_GP_56.207.245.4_Web;SERVICE_56.207.245.4;;56.198.195.11
OAM;APP_56.185.52.7_SSL;APP SSL WAE 1017679-MCLNTX-XOC-WAAS;SSL;APP_GP_56.207.245.4_SSL;SERVICE_56.207.245.4;;56.185.52.7
OAM;APP_56.66.6.25_SQL;APP SQL WAE 2303780005-BLTMMD-ATT-WAAS;SQL;APP_GP_56.207.245.4_SQL;SERVICE_56.207.245.4;;56.66.6.25
OAM;APP_56.208.8.15_WAFS;APP WAFS WAE 5690910-PLNDOR-VZB-WAAS-2;WAFS;APP_GP_56.207.245.4_WAFS;SERVICE_56.207.245.4;;56.208.8.15
OAM;APP_56.183.92.28_Systems-Management;APP Systems-Management WAE 4544232-HSTNTX-XOC-WAAS;Systems-Management;APP_GP_56.207.245.4_Systems-Management;SERVICE_56.207.245.4;;56.183.92.28
OAM;APP_56.86.154.26_Enterprise-Applications;APP Enterprise-Applications WAE 4518030460-WCLMSC-ATT-WAAS;Enterprise-Applications;APP_GP_56.207.245.4_Enterprise-Applications;SERVICE_56.207.245.4;;56.86.154.26
OAM;APP_56.52.41.9_Printing;APP Printing WAE 1279292-LNCSPA-ATT-WAAS;Printing;APP_GP_56.207.245.4_Printing;SERVICE_56.207.245.4;;56.52.41.9
OAM;APP_56.246.133.14_Backup;APP Backup WAE 0569360115-SAANCA-ATT-WAAS1;Backup;APP_GP_56.207.245.4_Backup;SERVICE_56.207.245.4;;56.246.133.14
OAM;APP_56.18.34.7_Email-and-Messaging;APP Email-and-Messaging WAE 1959817-SHRWMA-VZB-WAAS;Email-and-Messaging;APP_GP_56.207.245.4_Email-and-Messaging;SERVICE_56.207.245.4;;56.18.34.7
OAM;APP_56.117.135.167_Replication;APP Replication WAE 4514278-ORLNFL-VZB-WAAS;Replication;APP_GP_56.207.245.4_Replication;SERVICE_56.207.245.4;;56.117.135.167
OAM;APP_56.146.34.6_Backup;APP Backup WAE 2552700205-LNSNMI-ATT-WAAS;Backup;APP_GP_56.207.245.4_Backup;SERVICE_56.207.245.4;;56.146.34.6
OAM;APP_56.45.162.4_Other;APP Other WAE 5812671-NWBRNY-VZB-WAAS;Other;APP_GP_56.207.245.4_Other;SERVICE_56.207.245.4;;56.45.162.4
OAM;APP_56.185.166.34_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 7106396-SNTOTX-VZB-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.185.166.34
OAM;APP_56.16.231.5_WAFS;APP WAFS WAE 2092712-SCRBME-VZB-WAAS;WAFS;APP_GP_56.207.245.4_WAFS;SERVICE_56.207.245.4;;56.16.231.5
OAM;APP_56.53.162.7_Enterprise-Applications;APP Enterprise-Applications WAE 8806237-PHLDPA-XOC-WAAS;Enterprise-Applications;APP_GP_56.207.245.4_Enterprise-Applications;SERVICE_56.207.245.4;;56.53.162.7
OAM;APP_56.161.166.24_SSL;APP SSL WAE 3249360-FRTSAR-VZB-WAAS;SSL;APP_GP_56.207.245.4_SSL;SERVICE_56.207.245.4;;56.161.166.24
OAM;APP_56.198.132.10_Other;APP Other WAE 3066450111-OMAHNE-ATT-WAAS;Other;APP_GP_56.207.245.4_Other;SERVICE_56.207.245.4;;56.198.132.10
OAM;APP_56.28.7.8_SQL;APP SQL WAE 3500600210-ALBNNY-XOC-WAAS;SQL;APP_GP_56.207.245.4_SQL;SERVICE_56.207.245.4;;56.28.7.8
OAM;APP_56.65.134.143_SSH;APP SSH WAE 1207220-WSHNDC-VZB-WAAS;SSH;APP_GP_56.207.245.4_SSH;SERVICE_56.207.245.4;;56.65.134.143
OAM;APP_56.161.166.24_SSH;APP SSH WAE 3249360-FRTSAR-VZB-WAAS;SSH;APP_GP_56.207.245.4_SSH;SERVICE_56.207.245.4;;56.161.166.24
OAM;APP_56.178.166.41_Replication;APP Replication WAE 3961380021-OKLCOK-ATT-WAAS;Replication;APP_GP_56.207.245.4_Replication;SERVICE_56.207.245.4;;56.178.166.41
OAM;APP_56.178.21.32_Other;APP Other WAE 4863200331-NBRNTX-ATT-WAAS;Other;APP_GP_56.207.245.4_Other;SERVICE_56.207.245.4;;56.178.21.32
OAM;APP_56.46.211.9_Remote-Desktop;APP Remote-Desktop WAE 9209673-KRNYNJ-X0C-WAAS;Remote-Desktop;APP_GP_56.207.245.4_Remote-Desktop;SERVICE_56.207.245.4;;56.46.211.9
OAM;APP_56.237.67.9_Version-Management;APP Version-Management WAE SAM-SAMTCA-VZB-WAAS-5;Version-Management;APP_GP_56.207.245.4_Version-Management;SERVICE_56.207.245.4;;56.237.67.9
OAM;APP_56.186.52.14_WAFS;APP WAFS WAE 1302532-KLN0TX-VZB-WAAS;WAFS;APP_GP_56.207.245.4_WAFS;SERVICE_56.207.245.4;;56.186.52.14
OAM;APP_56.152.162.5_Outlook_Exchange;APP Outlook_Exchange WAE 4395274-AURRIL-VZB-WAAS;Outlook_Exchange;APP_GP_56.207.245.4_Outlook_Exchange;SERVICE_56.207.245.4;;56.152.162.5
OAM;APP_56.237.67.5_Backup;APP Backup WAE SAM-SAMTCA-VZB-WAAS-1;Backup;APP_GP_56.207.245.4_Backup;SERVICE_56.207.245.4;;56.237.67.5
OAM;APP_56.230.162.7_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 1038192-OKLNCA-XOC-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.230.162.7
OAM;APP_56.113.60.25_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 1731763-TAMPFL-VZB-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.113.60.25
OAM;APP_56.66.64.10_Systems-Management;APP Systems-Management WAE 2303780030-BLTMMD-XOC-WAAS;Systems-Management;APP_GP_56.207.245.4_Systems-Management;SERVICE_56.207.245.4;;56.66.64.10
OAM;APP_56.242.217.8_SSL;APP SSL WAE 3474134602-RSWLNM-ATT-WAAS;SSL;APP_GP_56.207.245.4_SSL;SERVICE_56.207.245.4;;56.242.217.8
OAM;APP_56.215.191.214_Web;APP Web WAE 6087767-BOISID-VZB-WAAS;Web;APP_GP_56.207.245.4_Web;SERVICE_56.207.245.4;;56.215.191.214
OAM;APP_56.246.133.14_SSH;APP SSH WAE 0569360115-SAANCA-ATT-WAAS1;SSH;APP_GP_56.207.245.4_SSH;SERVICE_56.207.245.4;;56.246.133.14
OAM;APP_56.237.67.7_WAFS;APP WAFS WAE SAM-SAMTCA-VZB-WAAS-3;WAFS;APP_GP_56.207.245.4_WAFS;SERVICE_56.207.245.4;;56.237.67.7
OAM;APP_56.35.97.114_Remote-Desktop;APP Remote-Desktop WAE 3593500133-WHTPNY-ATT-WAAS;Remote-Desktop;APP_GP_56.207.245.4_Remote-Desktop;SERVICE_56.207.245.4;;56.35.97.114
OAM;APP_56.210.49.201_SSH;APP SSH WAE 5476304699-KENTWA-XOC-WAAS;SSH;APP_GP_56.207.245.4_SSH;SERVICE_56.207.245.4;;56.210.49.201
OAM;APP_56.246.133.14_SSL;APP SSL WAE 0569360115-SAANCA-ATT-WAAS1;SSL;APP_GP_56.207.245.4_SSL;SERVICE_56.207.245.4;;56.246.133.14
OAM;APP_56.66.81.25_Directory-Services;APP Directory-Services WAE 2303780014-BLTMMD-ATT-WAAS;Directory-Services;APP_GP_56.207.245.4_Directory-Services;SERVICE_56.207.245.4;;56.66.81.25
OAM;APP_56.210.65.7_Other;APP Other WAE 3965234-SETLWA-XOC-WAAS;Other;APP_GP_56.207.245.4_Other;SERVICE_56.207.245.4;;56.210.65.7
OAM;APP_56.152.160.37_Backup;APP Backup WAE 5933688-SPFLIL-VZB-WAAS;Backup;APP_GP_56.207.245.4_Backup;SERVICE_56.207.245.4;;56.152.160.37
